HG Story Title	Author	Genre	Subgenre (if applicable)	Word Count	# of Omnibus Ratings	Omnibus Rating	# of Steam Reviews	% of Positive Steam Reviews	# of Google Reviews	# of GPS Installs	GPS Score	Release Date	Price	Free?
Factions: Raids of the Divided	Waseeq Mohammad	Puzzle	Fantasy	22000	71	3.2			80	5k+	2.4	11/27/2015	$2.99	Yup
Community College Hero	Eric Moser	Superhero	School	170000	1168	4.7	233	86%	2574	100k+	4.2	12/4/2015	$3.99	Nope
Vampire House	Jesse Freeman	Supernatural	Horror	85000	1175	4.4			3519	100k+	4.2	1/25/2016	$2.99	Yup
Lost Heir 2: Forging a Kingdom	Mike Walter	Fantasy		240000	1923	4.8	30	76%	485	10k+	4.6	1/28/2016	$2.99	Nope
Wizardy Level C	Jac Colvin	Fantasy		99000	54	4.1			233	10k+	3.1	2/12/2016	$2.99	Nope
Magikiras	Gabriel Cha	Sci-Fi	Mech	1100000	204	4.2	9	44%	660	10k+	4	3/11/2016	$3.99	Nope
Scarlet Sails	Felicity Banks	Fantasy	Steampunk	80000	132	4.5			184	10k+	3.6	3/11/2016	$2.99	Nope
Guns of Infinity	Paul Wang	War	Fantasy	440000	683	4.9	76	94%	647	5k+	4.9	3/25/2016	$4.99	Nope
First Year Demons	Rebecca Slitt	Supernatural	School	76000	48	4.4			36	1k+	3.1	4/8/2016	$1.99	Nope
Best of Us	Teo Kuusela	Superhero		120000	186	4.1	13	23%	233	10k+	3.5	4/22/2016	$2.99	Nope
Gambling With Eternity	Ashlee Sierra	Supernatural	Horror	53000	158	4			165	10k+	3.4	4/29/2016	$2.99	Yup
Doomsday on Demand	Norbert Mohos	Post-apocalyptic		120000	417	4.6	7	43%	5395	100k+	4.4	5/6/2016	$2.99	Nope
Starship Adventures	Various	Sci-Fi	Humor	94000	31	4.5			77	10k+	3.6	5/6/2016	$2.99	Nope
The Iron Destinies	David Berner	Sci-Fi		460000	46	3.8			96	5k+	2.9	6/10/2016	$3.99	Nope
Swamp Castle	Philip Kempton	Fantasy	Historical	100000	1175	4.4	1	0%	3101	100k+	4.4	7/29/2016	$2.99	Yup
The 3Games	Ema Bicova and Anna Michalcova	Sci-Fi		200000	25	4.2			131	10k+	3.9	7/29/2016	$2.99	Nope
Academy of Disaster	Maxine Janerka	School	Crime	68000	14	4			82	10k+	3.6	7/29/2016	$2.99	Nope
Machinations: Fog of War	Chris Conley	Steampunk	Sci-Fi	170000	12	3.5	9	33%	124	10k+	3.1	8/19/2016	$3.99	Nope
Samurai of Hyuga Book 2	Devon Connell	Fantasy	Historical	210000	2445	4.8	38	87%	843	10k+	4.7	9/16/2016	$5.99	Nope
Elemental Saga: The Awakening	Mandar Deshmukh	Supernatural	School	100000	273	4.2			716	50k+	3.7	10/7/2016	$2.99	Yup
Tomb of the Khan	Todd Maternowski	Horror	Mystery	54000	49	4.1			40	5k+	3.2	10/7/2016	$2.99	Yup
Twin Flames	Ivailo Daskalov	Fantasy		46000	60	4.3			111	10k+	3.5	10/21/2016	$1.99	Yup
Zombie Exodus: Safe Haven	Jim Dattilo	Supernatural	Post-apocalyptic	1100000	5187	4.8	129	89%	4176	100k+	4.4	10/28/2016	$4.99	Nope
Tokyo Wizard	Adrao	Fantasy	Supernatural	160000	542	4.6	2	100%	516	50k+	4.1	12/16/2016	$3.99	Nope
Evertree Inn	Thom Baylay	Fantasy	Mystery	270000	3563	4.8	28	75%	1898	100k+	4.5	1/20/2017	$3.99	Nope
The Great Tournament	Philip Kempton	Fantasy	Historical	190000	13831	4.7	21	90%	32649	500k+	4.7	3/3/2017	$4.99	Yup
Spacing Out	Ivailo Daskalov	Sci-Fi		51000	36	4.3			174	10k+	3.6	3/3/2017	$0.99	Yup
The Lost Heir 3: Demon War	Mike Walter	Fantasy		290000	1122	4.8	29	55%	594	10k+	4.5	3/17/2017	$4.99	Nope
Paradigm City	James Rhoden	Superhero		110000	366	4.3	5	60%	563	50k+	3.7	4/14/2017	$3.99	Nope
The Daily Blackmail	Mary Duffy	Mystery	Crime	34000	143	3.8			80	5k+	2.9	4/14/2017	$3.99	Yup
Treasure of the Forbidden City	Danny McAleese and David Kristoph	Adventure	Modern	40000	46	4.3			23	1k+	2.8	6/1/2017	$4.99	Yup
My Day off Work	Andrew J. Schaefer	Slice of Life	Humor	240000	681	4.3			340	10k+	4.1	7/14/2017	$3.99	Yup
The Spy and the Labyrinth	Lewis Manalo	Horror	Mystery	45000	13	3.7			35	1k+	2.6	7/27/2017	$2.99	Yup
Diamant Rose	Teo Kuusela	Spy	Mystery	89000	15	4.5			68	10k+	4.1	8/10/2017	$2.99	Nope
The Dryad’s Riddle	Avery Moore	Puzzle	Fantasy	71000	8	4.6			33	1k+	4.1	8/18/2017	$2.99	Nope
Knight of the Fellowship	Ivailo Daskalov	Fantasy	Historical	52000	40	4.5			181	10k+	3.4	8/18/2017	$1.99	Nope
Lost in the Pages	Various	Supernatural	Puzzle	130000	35	4.7			115	10k+	3.9	9/14/2017	$2.99	Nope
Highlands, Deep Waters	Fernando Neves and Lucas Zaper	Horror	Mystery	350000	109	4.7	20	80%	458	10k+	4.4	9/28/2017	$3.99	Nope
Samurai of Hyuga Book 3	Devon Connell	Fantasy	Historical	230000	1849	4.8	25	76%	570	10k+	4.7	12/1/2017	$5.99	Nope
Foundation of Nightmares	Samuel Harrison Young	Fantasy		96000	41	4.6	0	N/A	72	10k+	3.6	12/19/2017	$1.99	Nope
The Aether: Life as a God	A. Reddwolf	Supernatural	Fantasy	64000	1571	4.6	28	82%	3547	100k+	3.9	1/11/2018	$2.99	Nope
Comrade or Czar	Albnoob	War	Historical	61000	127	4.1			113	1k+	2.1	2/1/2018	$3.99	Nope
The Great Tournament 2	Philip Kempton	Fantasy	Historical	370000	866	4.6	13	62%	2292	50k+	4.1	2/9/2018	$2.99	Nope
Wayhaven Chronicles: Book One	Mishka Jenkins	Supernatural	Romance	440000	11807	4.8	238	95%	5909	100k+	4.7	3/8/2018	$4.99	Nope
Fallen Hero: Rebirth	Malin Ryden	Superhero		390000	2389	4.8	221	98%	3198	50k+	4.6	3/15/2018	$3.99	Nope
Highway Wars	Adrao	Post-apocalyptic		200000	355	4.5	15	67%	243	10k+	4.1	3/15/2018	$3.99	Nope
NE by NW Oz	Ron Baxley Jr.	Humor		32000	6	3.3			32	1k+	2.5	4/30/2018	$1.99	Nope
The Kepler Colony: Evacuation	Andy Why	Sci-Fi		170000	182	4.7			227	10k+	4	5/10/2018	$2.99	Nope
Community College Hero: Knowledge is Power	Eric Moser	Superhero	School	200000	709	4.8	24	92%	820	10k+	4.5	5/17/2018	$4.99	Nope
A Mummy is Not an Antique	Randy Condon	Humor	Supernatural	54000	3	3.8			15	1k+	3	6/1/2018	$2.99	Nope
The Courting of Miss Bennet	Michael Gray	Romance	Historical	200000	84	4.4			189	5k+	3.8	6/7/2018	$2.99	Nope
Doomsday on Demand 2	Norbert Mohos	Post-apocalyptic		140000	122	4.5	5	40%	428	10k+	4	6/26/2018	$2.99	Nope
The Harbinger’s Head	Kim Berkley	Horror	Supernatural	48000	93	4.6	12	100%	106	10k+	4.3	7/18/2018	$2.99	Nope
The Last Wizard	Mike Walter	Fantasy		190000	497	4.7	18	89%	561	10k+	4.2	8/2/2018	$4.99	Nope
